query_id,tuple_id,user_query
1,1,What can I make for German breakfast with tuna in under an hour
2,2,Quick Italian supper with eggs any ideas
3,3,Low prep French dinner chicken breast suggestions
4,4,Vietnamese breakfast with salmon ready in less than an hour
5,5,Easy German dinner with eggs in 20 minutes
6,6,Italian breakfast with chicken breast quick recipes
7,7,French supper with tuna under an hour
8,8,What to cook Vietnamese dinner with salmon in 20 min
9,9,German supper with eggs fast options
10,10,Tuna dinner ideas for Italian in less than an hour
11,11,French breakfast with chicken breast quick ideas
12,12,Vietnamese supper with eggs low prep time
13,13,What can I cook German dinner with salmon fast
14,14,Italian breakfast with eggs quick and easy
15,15,Low prep French supper with chicken breast suggestions
16,16,Vietnamese breakfast with tuna ready quickly
17,17,What to make German supper with salmon in 20 min
18,18,Italian dinner with eggs low prep quick recipes
19,19,Quick French breakfast with tuna ideas
20,20,Vietnamese breakfast with egg in 20 minutes